ClosedDate,SoldPr,Type,Zip,Area,Rooms,FullBaths,HalfBaths,BsmtBth,Beds,BsmtBeds,GarageSpaces
11/8/19,188061.875,Condo,60053,1238,5,2,0,No,2,0,1
7/30/19,1274933.438,SFH,60091,4988,13,4,1,Yes,4,1,2
1/3/20,277775,SFH,60053,2600,7,2,0,Yes,3,0,0
7/15/20,691875,SFH,60026,3083,10,4,0,Yes,5,0,3
6/28/18,842166.1599,SFH,60062,1860,5,2,0,No,3,0,2
11/16/20,361825,SFH,60053,1855,7,2,0,Yes,3,0,2.5
9/12/18,274607.1094,Condo,60076,1400,5,2,0,No,2,0,1
5/4/20,322875,SFH,60077,1861,8,2,0,Yes,3,0,0
4/27/20,128022.5,SFH,60002,952,4,1,0,No,1,0,2
4/9/20,151700,Condo,60025,1000,5,1,0,No,2,0,0
4/15/20,504812.5,SFH,60062,3157,9,3,2,Yes,4,0,2
8/1/19,1560178.125,SFH,60091,5300,11,5,1,Yes,4,1,2
6/3/19,278415.625,Condo,60062,1200,5,2,0,No,2,0,1
11/9/18,174456.2812,Condo,60077,1325,5,2,0,No,2,0,0
10/20/20,261375,SFH,60002,2926,11,2,1,No,4,0,2
10/17/17,987912.5371,SFH,60076,5000,12,4,1,No,6,0,2
7/6/17,364258.2539,SFH,60076,1295,7,2,0,No,3,0,0
1/27/20,307500,SFH,60053,1200,7,2,0,Yes,3,0,2.5
4/15/19,388731.25,SFH,60202,1509,9,1,1,No,3,2,1.5
4/28/20,743125,SFH,60053,3850,9,3,1,No,5,0,2
10/9/20,615000,SFH,60026,3252,9,2,1,No,4,0,2
2/20/20,589375,SFH,60201,2223,8,2,0,No,3,0,2
3/4/20,645647.5,SFH,60062,2560,10,3,0,No,5,0,3
8/24/19,166524.0625,SFH,60002,1606,7,2,0,No,3,0,1.5
6/9/17,689883.0566,SFH,60062,2754,10,2,1,No,5,0,2
7/24/19,404490.625,SFH,60076,2630,8,2,0,No,4,0,1
11/30/20,153750,Condo,60077,1350,5,2,0,No,2,0,0
3/4/19,715475.625,SFH,60201,2348,11,2,1,Yes,4,2,0
9/21/20,179375,Condo,60062,1260,5,2,0,No,2,0,1
12/4/19,475407.8125,SFH,60053,4000,12,3,1,Yes,5,0,2.5
6/14/19,157593.75,Condo,60077,1400,6,2,0,No,2,0,0
7/12/19,998093.75,SFH,60202,3094,8,3,1,No,4,0,1
10/27/20,553500,Townhouse,60201,1758,7,2,1,No,3,0,2
6/26/19,252150,Condo,60076,1900,6,2,0,No,2,0,1
11/19/18,274607.1094,SFH,60076,1300,9,3,0,Yes,4,0,2
5/3/19,264232.1875,Condo,60201,925,5,1,0,No,1,0,2
5/29/20,638575,SFH,60062,2644,7,3,1,No,4,0,2
6/17/20,891750,SFH,60201,3600,10,2,1,No,4,0,3
